slice_file_name,class,fold,classID
Angr(0).wav,Angry,1,0
Angr(1).wav,Angry,1,0
Angr(10).wav,Angry,1,0
Angr(100).wav,Angry,1,0
Angr(101).wav,Angry,1,0
Angr(102).wav,Angry,1,0
Angr(103).wav,Angry,1,0
Angr(104).wav,Angry,1,0
Angr(105).wav,Angry,1,0
Angr(106).wav,Angry,1,0
Angr(107).wav,Angry,1,0
Angr(108).wav,Angry,1,0
Angr(109).wav,Angry,1,0
Angr(11).wav,Angry,1,0
Angr(110).wav,Angry,1,0
Angr(111).wav,Angry,1,0
Angr(112).wav,Angry,1,0
Angr(113).wav,Angry,1,0
Angr(114).wav,Angry,1,0
Angr(115).wav,Angry,1,0
Angr(116).wav,Angry,1,0
Angr(117).wav,Angry,1,0
Angr(118).wav,Angry,1,0
Angr(119).wav,Angry,1,0
Angr(12).wav,Angry,1,0
Angr(120).wav,Angry,1,0
Angr(121).wav,Angry,1,0
Angr(122).wav,Angry,1,0
Angr(123).wav,Angry,1,0
Angr(124).wav,Angry,1,0
Angr(125).wav,Angry,1,0
Angr(126).wav,Angry,1,0
Angr(127).wav,Angry,1,0
Angr(128).wav,Angry,1,0
Angr(129).wav,Angry,1,0
Angr(13).wav,Angry,1,0
Angr(130).wav,Angry,1,0
Angr(131).wav,Angry,1,0
Angr(132).wav,Angry,1,0
Angr(133).wav,Angry,1,0
Angr(134).wav,Angry,1,0
Angr(135).wav,Angry,1,0
Angr(136).wav,Angry,1,0
Angr(137).wav,Angry,1,0
Angr(138).wav,Angry,1,0
Angr(139).wav,Angry,1,0
Angr(14).wav,Angry,1,0
Angr(140).wav,Angry,1,0
Angr(141).wav,Angry,1,0
Angr(142).wav,Angry,1,0
Angr(143).wav,Angry,1,0
Angr(144).wav,Angry,1,0
Angr(145).wav,Angry,1,0
Angr(146).wav,Angry,1,0
Angr(147).wav,Angry,1,0
Angr(148).wav,Angry,1,0
Angr(149).wav,Angry,1,0
Angr(15).wav,Angry,1,0
Angr(150).wav,Angry,1,0
Angr(151).wav,Angry,1,0
Angr(152).wav,Angry,1,0
Angr(153).wav,Angry,1,0
Angr(154).wav,Angry,1,0
Angr(155).wav,Angry,1,0
Angr(156).wav,Angry,1,0
Angr(157).wav,Angry,1,0
Angr(158).wav,Angry,1,0
Angr(159).wav,Angry,1,0
Angr(16).wav,Angry,1,0
Angr(160).wav,Angry,1,0
Angr(161).wav,Angry,1,0
Angr(162).wav,Angry,1,0
Angr(163).wav,Angry,1,0
Angr(164).wav,Angry,1,0
Angr(165).wav,Angry,1,0
Angr(166).wav,Angry,1,0
Angr(167).wav,Angry,1,0
Angr(168).wav,Angry,1,0
Angr(169).wav,Angry,1,0
Angr(17).wav,Angry,1,0
Angr(170).wav,Angry,1,0
Angr(171).wav,Angry,1,0
Angr(172).wav,Angry,1,0
Angr(173).wav,Angry,1,0
Angr(174).wav,Angry,1,0
Angr(175).wav,Angry,1,0
Angr(176).wav,Angry,1,0
Angr(177).wav,Angry,1,0
Angr(178).wav,Angry,1,0
Angr(179).wav,Angry,1,0
Angr(18).wav,Angry,1,0
Angr(180).wav,Angry,1,0
Angr(181).wav,Angry,1,0
Angr(182).wav,Angry,1,0
Angr(183).wav,Angry,1,0
Angr(184).wav,Angry,1,0
Angr(185).wav,Angry,1,0
Angr(186).wav,Angry,1,0
Angr(187).wav,Angry,1,0
Angr(188).wav,Angry,1,0
Angr(189).wav,Angry,1,0
Angr(19).wav,Angry,1,0
Angr(190).wav,Angry,1,0
Angr(191).wav,Angry,1,0
Angr(192).wav,Angry,1,0
Angr(193).wav,Angry,1,0
Angr(194).wav,Angry,1,0
Angr(195).wav,Angry,1,0
Angr(196).wav,Angry,1,0
Angr(197).wav,Angry,1,0
Angr(198).wav,Angry,1,0
Angr(199).wav,Angry,1,0
Angr(2).wav,Angry,1,0
Angr(20).wav,Angry,1,0
Angr(200).wav,Angry,1,0
Angr(201).wav,Angry,1,0
Angr(202).wav,Angry,1,0
Angr(203).wav,Angry,1,0
Angr(204).wav,Angry,1,0
Angr(205).wav,Angry,1,0
Angr(206).wav,Angry,1,0
Angr(207).wav,Angry,1,0
Angr(208).wav,Angry,1,0
Angr(209).wav,Angry,1,0
Angr(21).wav,Angry,1,0
Angr(210).wav,Angry,1,0
Angr(211).wav,Angry,1,0
Angr(212).wav,Angry,1,0
Angr(213).wav,Angry,1,0
Angr(214).wav,Angry,1,0
Angr(215).wav,Angry,1,0
Angr(216).wav,Angry,1,0
Angr(217).wav,Angry,1,0
Angr(218).wav,Angry,1,0
Angr(219).wav,Angry,1,0
Angr(22).wav,Angry,1,0
Angr(220).wav,Angry,1,0
Angr(221).wav,Angry,1,0
Angr(222).wav,Angry,1,0
Angr(223).wav,Angry,1,0
Angr(224).wav,Angry,1,0
Angr(225).wav,Angry,1,0
Angr(226).wav,Angry,1,0
Angr(227).wav,Angry,1,0
Angr(228).wav,Angry,1,0
Angr(229).wav,Angry,1,0
Angr(23).wav,Angry,1,0
Angr(230).wav,Angry,1,0
Angr(231).wav,Angry,1,0
Angr(232).wav,Angry,1,0
Angr(233).wav,Angry,1,0
Angr(234).wav,Angry,1,0
Angr(235).wav,Angry,1,0
Angr(236).wav,Angry,1,0
Angr(237).wav,Angry,1,0
Angr(238).wav,Angry,1,0
Angr(239).wav,Angry,1,0
Angr(24).wav,Angry,1,0
Angr(240).wav,Angry,1,0
Angr(241).wav,Angry,1,0
Angr(242).wav,Angry,1,0
Angr(243).wav,Angry,1,0
Angr(244).wav,Angry,1,0
Angr(245).wav,Angry,1,0
Angr(246).wav,Angry,1,0
Angr(247).wav,Angry,1,0
Angr(248).wav,Angry,1,0
Angr(249).wav,Angry,1,0
Angr(25).wav,Angry,1,0
Angr(250).wav,Angry,1,0
Angr(251).wav,Angry,1,0
Angr(252).wav,Angry,1,0
Angr(253).wav,Angry,1,0
Angr(254).wav,Angry,1,0
Angr(255).wav,Angry,1,0
Angr(256).wav,Angry,1,0
Angr(257).wav,Angry,1,0
Angr(258).wav,Angry,1,0
Angr(259).wav,Angry,1,0
Angr(26).wav,Angry,1,0
Angr(260).wav,Angry,1,0
Angr(261).wav,Angry,1,0
Angr(262).wav,Angry,1,0
Angr(263).wav,Angry,1,0
Angr(264).wav,Angry,1,0
Angr(265).wav,Angry,1,0
Angr(266).wav,Angry,1,0
Angr(267).wav,Angry,1,0
Angr(268).wav,Angry,1,0
Angr(269).wav,Angry,1,0
Angr(27).wav,Angry,1,0
Angr(270).wav,Angry,1,0
Angr(271).wav,Angry,1,0
Angr(272).wav,Angry,1,0
Angr(273).wav,Angry,1,0
Angr(274).wav,Angry,1,0
Angr(275).wav,Angry,1,0
Angr(276).wav,Angry,1,0
Angr(277).wav,Angry,1,0
Angr(278).wav,Angry,1,0
Angr(279).wav,Angry,1,0
Angr(28).wav,Angry,1,0
Angr(280).wav,Angry,1,0
Angr(281).wav,Angry,1,0
Angr(282).wav,Angry,1,0
Angr(283).wav,Angry,1,0
Angr(284).wav,Angry,1,0
Angr(285).wav,Angry,1,0
Angr(286).wav,Angry,1,0
Angr(287).wav,Angry,1,0
Angr(288).wav,Angry,1,0
Angr(289).wav,Angry,1,0
